school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
Chicago (Excel Academy/Englewood),Chicago,public_nonboundaried,False,False,0.0,0.0,269.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,,
Chicago (Excel Academy/Roseland),Chicago,public_nonboundaried,False,False,0.0,0.0,268.0,41.85452758620689,-87.67469195402299,,,,,,,,,,,,,,,,,,1A,
Chicago (Excel Academy/South Shore),Chicago,public_nonboundaried,False,False,0.0,0.0,225.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,,
Chicago (F.W. Parker),Chicago,private,True,False,1.0,1.0,344.0,41.85452758620689,-87.67469195402299,1A,1A,2A,1A,1A,1A,2A,2A,2A,,,2A,,2A,2A,1A,1A,2A,2A
Chicago (Farragut),Chicago,public,False,False,0.0,0.0,423.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,2A,,1A,,1A,1A
Chicago (Fenger),Chicago,public,False,False,0.0,0.0,201.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,1A,,,,1A,,,,,1A,1A
Chicago (Foreman),Chicago,public,False,False,0.0,0.0,568.0,41.85452758620689,-87.67469195402299,,,,,1A,,2A,2A,2A,,,,1A,,,,,2A,
Chicago (Gage Park),Chicago,public,False,False,0.0,0.0,326.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,2A,,1A,,1A,
Chicago (Goode STEM Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,961.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,,3A,3A,,,,2A,3A,,2A,,2A,2A
Chicago (Hancock),Chicago,public_nonboundaried,False,False,0.0,0.0,1043.0,41.85452758620689,-87.67469195402299,3A,3A,,,3A,,4A,4A,4A,C,,,3A,3A,3A,2A,,2A,2A
Chicago (Harlan),Chicago,public,False,False,0.0,0.0,161.0,41.85452758620689,-87.67469195402299,1A,,,,,,1A,1A,,,,,1A,,,,,,
Chicago (Holy Trinity),Chicago,private,True,False,1.0,1.0,291.0,41.85452758620689,-87.67469195402299,1A,1A,,,1A,,2A,2A,2A,,,,,2A,1A,,,1A,1A
Chicago (Horizon/Belmont),Chicago,public_nonboundaried,False,False,0.0,0.0,196.0,41.85452758620689,-87.67469195402299,1A,1A,,,,,,2A,,1A,,,,,,,,1A,1A
Chicago (Horizon/McKinley),Chicago,public_nonboundaried,False,False,0.0,0.0,284.0,41.85452758620689,-87.67469195402299,1A,1A,,,1A,,1A,1A,1A,,,,,1A,2A,,,1A,1A
Chicago (Horizon/Southwest Chicago),Chicago,public_nonboundaried,False,False,0.0,0.0,226.0,41.85452758620689,-87.67469195402299,,1A,,,1A,,1A,1A,1A,,,,1A,,,1A,,1A,1A
Chicago (Hubbard),Chicago,public,False,False,0.0,0.0,1565.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,,,,,,2A,3A,,2A,,3A,3A
Chicago (Hyde Park),Chicago,public,False,False,0.0,0.0,755.0,41.85452758620689,-87.67469195402299,2A,,,,,,3A,3A,3A,,,,2A,,,,,2A,2A
Chicago (Instituto Health Science Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,546.0,41.85452758620689,-87.67469195402299,,,,,1A,,3A,,,,,,,,,,,,
Chicago (Intrinsic Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,672.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,3A,,2A,,,3A,3A,2A,,,
Chicago (Intrinsic Charter-Downtown Campus),Chicago,public_nonboundaried,False,False,0.0,0.0,713.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,2A,3A,3A,2A,,2A,2A
Chicago (Jones),Chicago,public_nonboundaried,False,False,0.0,0.0,1932.0,41.85452758620689,-87.67469195402299,3A,3A,,2A,3A,2A,4A,4A,4A,C,3A,2A,,4A,4A,3A,2A,3A,3A
Chicago (Josephinum),Chicago,private,True,False,1.0,1.0,190.0,41.85452758620689,-87.67469195402299,,1A,,,,,2A,,,,1A,,,,,,,,
Chicago (Juarez),Chicago,public,False,False,0.0,0.0,1518.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,,,,,,3A,3A,2A,,3A,3A
Chicago (Julian),Chicago,public,False,False,0.0,0.0,400.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,,,,,,,,1A,1A
Chicago (Kelly),Chicago,public,False,False,0.0,0.0,1594.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,3A,,,,2A,,3A,2A,,,
Chicago (Kennedy),Chicago,public,False,False,0.0,0.0,1543.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,2A,,,2A,3A,3A,2A,,3A,3A
Chicago (Kenwood),Chicago,public,False,False,0.0,0.0,1918.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,,3A,4A,4A,3A,2A,3A,3A
Chicago (King),Chicago,public_nonboundaried,False,False,0.0,0.0,794.0,41.85452758620689,-87.67469195402299,2A,2A,,,,,3A,3A,3A,,,,2A,3A,,,,2A,2A
Chicago (Lake View),Chicago,public,False,False,0.0,0.0,1364.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,2A,3A,,2A,,3A,3A
Chicago (Lane),Chicago,public_nonboundaried,False,False,0.0,0.0,4376.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,,3A,4A,4A,3A,2A,3A,3A
Chicago (Latin),Chicago,private,True,False,1.0,1.0,508.0,41.85452758620689,-87.67469195402299,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,,,3A,2A,2A,1A,2A,2A
Chicago (Legal Prep Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,209.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,,
Chicago (Leo),Chicago,private,True,False,1.0,3.0,480.0,41.85452758620689,-87.67469195402299,1A,,,,,,,3A,,,,2A,1A,3A,,,,2A,
Chicago (Lincoln Park),Chicago,public,False,False,0.0,0.0,2178.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,,3A,4A,4A,3A,2A,3A,3A
Chicago (Lindblom),Chicago,public_nonboundaried,False,False,0.0,0.0,1046.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,,4A,4A,4A,3A,,,3A,4A,,2A,,3A,3A
Chicago (Little Village),Chicago,public,False,False,0.0,0.0,1064.0,41.85452758620689,-87.67469195402299,,,,,2A,,,3A,,,,,2A,,,,,2A,2A
Chicago (Lycée Français de Chicago),Chicago,private,True,False,,,225.0,41.85452758620689,-87.67469195402299,,,1A,,1A,,1A,1A,1A,,,,,,,1A,,,
Chicago (Manley),Chicago,public,False,False,0.0,0.0,123.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,1A,,,,,,,,,1A,1A
Chicago (Marine Leadership Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,416.0,41.85452758620689,-87.67469195402299,1A,1A,,,1A,,,,,,,,,,,1A,,1A,1A
Chicago (Marist),Chicago,private,True,False,1.0,3.0,1507.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Chicago (Marshall),Chicago,public,False,False,0.0,0.0,197.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,2A,,,,1A,,,,,,
Chicago (Mather),Chicago,public,False,False,0.0,0.0,1657.0,41.85452758620689,-87.67469195402299,3A,3A,,,2A,2A,,4A,4A,,,,3A,4A,,,2A,3A,3A
Chicago (Morgan Park Academy),Chicago,private,True,False,1.0,3.0,110.0,41.85452758620689,-87.67469195402299,,,,,1A,1A,1A,1A,1A,,,,,1A,,1A,1A,1A,1A
Chicago (Morgan Park),Chicago,public,False,False,0.0,0.0,1114.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,2A,2A,,2A,3A,,2A,,2A,2A
Chicago (Mother McAuley),Chicago,private,True,False,1.0,3.0,1540.0,41.85452758620689,-87.67469195402299,,3A,,2A,,2A,4A,,4A,3A,,2A,,,3A,2A,,,3A
Chicago (Mt. Carmel),Chicago,private,True,False,1.0,3.0,1184.0,41.85452758620689,-87.67469195402299,2A,,3A,,3A,,,4A,,,,2A,3A,4A,,,2A,3A,
Chicago (Noble Street Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,683.0,41.85452758620689,-87.67469195402299,2A,2A,,,1A,,2A,2A,,,,,2A,2A,,1A,,2A,2A
Chicago (Noble/Baker),Chicago,public_nonboundaried,False,False,,,279.0,41.85452758620689,-87.67469195402299,,,,,,,,,,,,,,,,,,2A,2A
Chicago (Noble/Bulls),Chicago,public_nonboundaried,False,False,0.0,0.0,1049.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,,4A,4A,2A,,3A,3A
Chicago (Noble/Butler),Chicago,public_nonboundaried,False,False,0.0,0.0,672.0,41.85452758620689,-87.67469195402299,2A,,,,,,2A,2A,3A,,1A,,,,,,,2A,2A
Chicago (Noble/Comer),Chicago,public_nonboundaried,False,False,0.0,0.0,735.0,41.85452758620689,-87.67469195402299,,,,,,,3A,3A,3A,,,,2A,,,,,2A,2A
Chicago (Noble/DRW Trading),Chicago,public_nonboundaried,False,False,0.0,0.0,313.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,,,,,,,,,,,
Chicago (Noble/Golder),Chicago,public_nonboundaried,False,False,0.0,0.0,626.0,41.85452758620689,-87.67469195402299,2A,2A,,,1A,,2A,2A,2A,,,,1A,3A,3A,2A,,2A,2A
Chicago (Noble/Hansberry),Chicago,public_nonboundaried,False,False,0.0,0.0,527.0,41.85452758620689,-87.67469195402299,,,,,,,2A,3A,2A,,1A,,,,,,,2A,2A
Chicago (Noble/ITW Speer),Chicago,public_nonboundaried,False,False,0.0,0.0,1127.0,41.85452758620689,-87.67469195402299,2A,2A,,,3A,,3A,3A,3A,,,,2A,4A,4A,3A,,3A,3A
Chicago (Noble/Johnson),Chicago,public_nonboundaried,False,False,0.0,0.0,498.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,,,,,,,,2A,2A
Chicago (Noble/Mansueto),Chicago,public_nonboundaried,False,False,0.0,0.0,1081.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,3A,4A,4A,2A,,,
Chicago (Noble/Muchin),Chicago,public_nonboundaried,False,False,0.0,0.0,890.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,,3A,,2A,,3A,3A
Chicago (Noble/Noble Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,399.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,,,1A,,,1A,,,
Chicago (Noble/Pritzker),Chicago,public_nonboundaried,False,False,0.0,0.0,978.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,C,1A,,,4A,4A,2A,,3A,
Chicago (Noble/Rauner),Chicago,public_nonboundaried,False,False,0.0,0.0,550.0,41.85452758620689,-87.67469195402299,,,,,1A,,2A,2A,2A,,,,,3A,,,,2A,2A
Chicago (Noble/Rowe-Clark),Chicago,public_nonboundaried,False,False,0.0,0.0,311.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,,,,,,,,,,,
Chicago (Noble/UIC),Chicago,public_nonboundaried,False,False,0.0,0.0,940.0,41.85452758620689,-87.67469195402299,3A,3A,,,2A,,,3A,,2A,1A,,2A,,,,,3A,3A
Chicago (North Grand),Chicago,public,False,False,0.0,0.0,1013.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,,,,,,,,,,,,
Chicago (North Lawndale Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,266.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,,,,,,,,1A,1A
Chicago (Northside),Chicago,public_nonboundaried,False,False,0.0,0.0,1059.0,41.85452758620689,-87.67469195402299,2A,2A,2A,,2A,1A,3A,3A,3A,,2A,2A,,4A,4A,2A,2A,3A,3A
Chicago (Ogden International),Chicago,public_nonboundaried,False,False,0.0,0.0,509.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,3A,,,,,3A,,,,2A,2A
Chicago (Orr),Chicago,public,False,False,0.0,0.0,302.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,2A,,,,,,,,,1A,1A
Chicago (Our Lady of Tepeyac),Chicago,private,True,False,1.0,2.0,272.0,41.85452758620689,-87.67469195402299,,,,,,,1A,,1A,,,,,,1A,1A,,,
Chicago (Payton),Chicago,public_nonboundaried,False,False,0.0,0.0,1251.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,2A,1A,3A,4A,3A,2A,2A,2A,3A,4A,4A,3A,2A,3A,3A
Chicago (Perspectives/IIT Math & Science),Chicago,public_nonboundaried,False,False,0.0,0.0,362.0,41.85452758620689,-87.67469195402299,,,,,,,3A,2A,3A,,,,,,,,,,
Chicago (Perspectives/Leadership),Chicago,public_nonboundaried,False,False,0.0,0.0,673.0,41.85452758620689,-87.67469195402299,,,,,,,3A,4A,4A,,,,2A,,,,,3A,3A
Chicago (Phillips),Chicago,public,False,False,0.0,0.0,397.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,1A,,,1A,,2A,,,1A,1A
Chicago (Phoenix Military Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,366.0,41.85452758620689,-87.67469195402299,,,,,1A,,,,,,,,1A,,,,,,
Chicago (Prosser),Chicago,public_nonboundaried,False,False,0.0,0.0,1163.0,41.85452758620689,-87.67469195402299,3A,3A,,,3A,,4A,4A,4A,,,,,3A,3A,2A,,2A,2A
Chicago (Providence St. Mel),Chicago,private,True,False,1.0,2.0,68.0,41.85452758620689,-87.67469195402299,1A,,,,,,1A,1A,,,,,,,,,,1A,1A
Chicago (Resurrection),Chicago,private,True,False,1.0,1.0,904.0,41.85452758620689,-87.67469195402299,,2A,,2A,,1A,3A,,3A,,,,,,3A,2A,,,2A
Chicago (Richards),Chicago,public,False,False,0.0,0.0,304.0,41.85452758620689,-87.67469195402299,,,,,1A,,,2A,,,,,,,,,,1A,
Chicago (Rickover Naval Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,524.0,41.85452758620689,-87.67469195402299,1A,1A,,1A,1A,,2A,,,C,,,2A,2A,2A,1A,,2A,2A
Chicago (Roosevelt),Chicago,public,False,False,0.0,0.0,1057.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,,,,,,,,2A,,,
Chicago (Schurz),Chicago,public,False,False,0.0,0.0,1123.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,3A,,,,2A,,3A,2A,,2A,2A
Chicago (Senn),Chicago,public,False,False,0.0,0.0,1494.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,2A,3A,3A,3A,,,,2A,,3A,2A,2A,3A,3A
Chicago (Simeon),Chicago,public_nonboundaried,False,False,0.0,0.0,1044.0,41.85452758620689,-87.67469195402299,,,,,,,4A,4A,4A,,,,3A,4A,,,,2A,2A
Chicago (Solorio Academy),Chicago,public,False,False,0.0,0.0,1245.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,,,,,2A,3A,,2A,,2A,2A
Chicago (South Shore International College Prep),Chicago,public_nonboundaried,False,False,0.0,0.0,594.0,41.85452758620689,-87.67469195402299,,,,,1A,,2A,2A,2A,,,,2A,,,,,2A,2A
Chicago (Spry Community Links),Chicago,public_nonboundaried,False,False,0.0,0.0,82.0,41.85452758620689,-87.67469195402299,,,,,1A,,,,,,,,,,,,,,
Chicago (St. Francis de Sales),Chicago,private,True,False,1.0,3.0,165.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,,,,,,,,,,,
Chicago (St. Ignatius College Prep),Chicago,private,True,False,1.0,2.0,1485.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,2A,4A,4A,4A,2A,2A,2A,2A,4A,4A,3A,1A,3A,3A
Chicago (St. Patrick),Chicago,private,True,False,1.0,1.0,1068.0,41.85452758620689,-87.67469195402299,2A,,3A,,2A,,,4A,,,,2A,3A,4A,,,,2A,
Chicago (St. Rita),Chicago,private,True,False,1.0,3.0,872.0,41.85452758620689,-87.67469195402299,2A,,2A,,2A,,,3A,,,,2A,2A,3A,,,,3A,
Chicago (Steinmetz),Chicago,public,False,False,,,1062.0,41.85452758620689,-87.67469195402299,,,,,,,,,,,,,,3A,3A,,,2A,2A
Chicago (Sullivan),Chicago,public,False,False,0.0,0.0,711.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,1A,,,,,2A,2A
Chicago (Taft),Chicago,public,False,False,0.0,0.0,4114.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,,3A,4A,4A,3A,2A,3A,3A
Chicago (Tilden),Chicago,public,False,False,0.0,0.0,246.0,41.85452758620689,-87.67469195402299,,,,,1A,,1A,1A,,,,,,,,,,,
Chicago (UCCS/Woodlawn),Chicago,public_nonboundaried,False,False,0.0,0.0,346.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,,,,,,,,,,2A,2A
Chicago (University),Chicago,private,True,False,1.0,3.0,625.0,41.85452758620689,-87.67469195402299,2A,2A,2A,2A,2A,1A,3A,2A,2A,,,,,2A,,2A,2A,2A,2A
Chicago (Uplift),Chicago,public_nonboundaried,False,False,0.0,0.0,221.0,41.85452758620689,-87.67469195402299,,,,,,,1A,1A,1A,,,,,,,,,1A,1A
Chicago (Urban Prep/Bronzeville),Chicago,public_nonboundaried,False,False,0.0,0.0,286.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,2A,
Chicago (Von Steuben),Chicago,public_nonboundaried,False,False,0.0,0.0,1669.0,41.85452758620689,-87.67469195402299,3A,3A,,,2A,,4A,4A,,,,,,4A,,3A,,3A,3A
Chicago (Waldorf),Chicago,private,True,False,1.0,1.0,69.0,41.85452758620689,-87.67469195402299,,,,,,,1A,,,,,,,,,,,,
Chicago (Washington),Chicago,public,False,False,0.0,0.0,1464.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,2A,3A,3A,2A,,3A,3A
Chicago (Wells),Chicago,public,False,False,0.0,0.0,358.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,,
Chicago (Westinghouse College Prep),Chicago,public_nonboundaried,False,False,0.0,0.0,1216.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,3A,,,,2A,,,3A,,3A,3A
Chicago (Whitney Young),Chicago,public_nonboundaried,False,False,0.0,0.0,1924.0,41.85452758620689,-87.67469195402299,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,,,4A,4A,3A,2A,3A,3A
Chicago (Wolcott),Chicago,private,True,False,1.0,2.0,135.0,41.85452758620689,-87.67469195402299,1A,,,,,,1A,1A,1A,,,,,,,,,1A,1A
Chicago Heights (Bloom Twp.),Chicago Heights,public,False,False,0.0,0.0,2964.0,41.507400000000004,-87.613,3A,3A,3A,,3A,2A,4A,4A,4A,,,,3A,4A,4A,3A,,3A,3A
Chicago Heights (Marian),Chicago Heights,private,True,False,3.0,8.0,744.0,41.507400000000004,-87.613,2A,2A,2A,,2A,1A,3A,3A,3A,2A,,,2A,3A,3A,2A,1A,2A,2A
Chillicothe (Illinois Valley Central),Chillicothe,public,False,False,0.0,0.0,624.0,40.9013,-89.5068,2A,2A,2A,,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Chrisman,Chrisman,public,False,False,0.0,0.0,90.0,39.7996,-87.6556,1A,,1A,,,,1A,1A,1A,,,1A,,,1A,,,,
Christopher,Christopher,public,False,False,0.0,0.0,202.0,37.9849,-89.0574,1A,1A,,,,,1A,1A,1A,,,1A,,,,,,1A,1A
Cisne,Cisne,public,False,False,0.0,0.0,104.0,38.5159,-88.4375,,,,,,,1A,1A,,,,1A,,1A,1A,,,1A,1A
Cissna Park,Cissna Park,public,False,False,0.0,0.0,100.0,40.5858,-87.8759,,,,,,,1A,1A,1A,,,1A,,1A,,,,,
Clay City,Clay City,public,False,False,,,73.0,38.6695,-88.3516,1A,,,,,,,,,,,1A,,,,,,,
Clifton (Central),Clifton,public,False,False,0.0,0.0,277.0,40.9394,-87.9202,1A,,,,1A,,1A,1A,1A,1A,,,1A,1A,1A,,,1A,1A
Clinton,Clinton,public,False,False,0.0,0.0,485.0,40.1487,-88.9627,1A,1A,1A,1A,,,2A,2A,2A,,1A,2A,1A,2A,2A,,,2A,2A
Coal City,Coal City,public,False,False,0.0,0.0,640.0,41.2908,-88.2823,,,2A,1A,1A,1A,2A,2A,2A,1A,,2A,1A,2A,2A,1A,1A,2A,2A
Cobden,Cobden,public,False,False,0.0,0.0,133.0,37.5424,-89.2457,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Colfax (Ridgeview),Colfax,public,False,False,0.0,0.0,162.0,40.5704,-88.62,,,1A,,,,1A,1A,1A,,,1A,1A,1A,,,,1A,1A
Collinsville,Collinsville,public,False,False,0.0,0.0,1917.0,38.6835,-89.9853,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,3A,2A,3A,3A
Columbia,Columbia,public,False,False,0.0,0.0,600.0,38.4325,-90.2027,1A,1A,2A,1A,1A,,2A,2A,2A,1A,,2A,,2A,2A,1A,,2A,2A
Concord (Triopia),Concord,public,False,False,0.0,0.0,120.0,39.823,-90.3722,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Country Club Hills (Hillcrest),Country Club Hills,public,False,False,0.0,0.0,1001.0,41.5637,-87.7247,2A,2A,,,,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,,1A,2A,2A
Cowden (C.-Herrick),Cowden,public,False,False,0.0,0.0,98.0,39.2326,-88.8868,1A,1A,,,,,1A,,1A,,,,,,,,,1A,1A
Crete (C.-Monee),Crete,public,False,False,0.0,0.0,1461.0,41.439,-87.6027,2A,2A,3A,,2A,2A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Crete (Illinois Lutheran),Crete,private,True,False,3.0,9.0,86.0,41.439,-87.6027,,,1A,,1A,,1A,1A,1A,,,1A,,,1A,,,1A,1A
Crystal Lake (Central),Crystal Lake,public,False,False,0.0,0.0,1447.0,42.27393333333333,-88.36873333333334,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Crystal Lake (Prairie Ridge),Crystal Lake,public,False,False,0.0,0.0,1175.0,42.27393333333333,-88.36873333333334,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Crystal Lake (South),Crystal Lake,public,False,False,0.0,0.0,1224.0,42.27393333333333,-88.36873333333334,2A,2A,2A,,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Cuba,Cuba,public,False,False,0.0,0.0,114.0,40.4995,-90.1811,,,1A,1A,,,,1A,,,,1A,,2A,,,,,
Cullom (Tri-Point),Cullom,public,False,False,0.0,0.0,91.0,40.8781,-88.2765,1A,,,,,,1A,1A,1A,,,1A,,,,,,1A,1A
Dakota,Dakota,public,False,False,0.0,0.0,237.0,42.4031,-89.5468,1A,1A,1A,,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Danville (H.S.),Danville,public,False,False,0.0,0.0,1159.0,40.1486,-87.6473,2A,,2A,,2A,1A,3A,3A,3A,,2A,,2A,3A,3A,2A,1A,2A,2A
Danville (Schlarman),Danville,private,True,False,5.0,13.0,74.0,40.1486,-87.6473,,,1A,,1A,1A,1A,1A,1A,,,1A,,1A,,,,1A,1A
Darien (Hinsdale South),Darien,public,False,False,0.0,0.0,1340.0,41.7434,-87.9805,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Decatur (Eisenhower),Decatur,public,False,False,0.0,0.0,860.0,39.84845,-88.96453333333334,3A,3A,,,2A,,3A,3A,3A,,,2A,2A,,3A,2A,,2A,2A
Decatur (MacArthur),Decatur,public,False,False,0.0,0.0,1009.0,39.84845,-88.96453333333334,2A,2A,,,3A,,3A,3A,3A,,,2A,2A,4A,3A,,,2A,2A
Decatur (St. Teresa),Decatur,private,True,False,5.0,15.0,211.0,39.84845,-88.96453333333334,1A,1A,1A,,1A,1A,1A,1A,2A,,,1A,1A,1A,1A,1A,1A,1A,1A
Decatur (Unity Christian),Decatur,private,True,False,5.0,15.0,128.0,39.84845,-88.96453333333334,,,,,,,1A,1A,1A,,,,1A,1A,,1A,,,
Deerfield (H.S.),Deerfield,public,False,False,0.0,0.0,1397.0,42.1705,-87.859,2A,2A,2A,2A,2A,1A,3A,3A,3A,,2A,2A,2A,3A,,2A,1A,3A,3A
Deerfield (Rochelle Zell),Deerfield,private,True,False,2.0,4.0,140.0,42.1705,-87.859,1A,,,,1A,,1A,1A,1A,,,,,1A,,1A,,1A,
DeKalb,Dekalb,public,False,False,0.0,0.0,1992.0,41.9008,-88.7548,3A,3A,3A,,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
DeLand (D.-Weldon),De Land,public,False,False,0.0,0.0,45.0,40.1107,-88.6392,,,,,,,1A,1A,,,,,1A,,,,,1A,1A
Delavan,Delavan,public,False,False,0.0,0.0,129.0,40.369,-89.5321,1A,1A,1A,,,,1A,1A,,,,1A,,1A,1A,,,1A,1A
DePue,Depue,public,False,False,0.0,0.0,83.0,41.3092,-89.3252,,,,,1A,,1A,1A,,,,,,,,1A,,1A,1A
Des Plaines (Maine West),Des Plaines,public,False,False,0.0,0.0,1817.0,42.028825,-87.889025,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,3A,2A,3A,3A
Des Plaines (Willows Academy),Des Plaines,private,True,False,2.0,4.0,254.0,42.028825,-87.889025,,1A,,,,1A,1A,,2A,,1A,,,,,1A,,,1A
Dieterich,Dieterich,public,False,False,0.0,0.0,189.0,39.0319,-88.4074,1A,1A,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Dixon (H.S.),Dixon,public,False,False,0.0,0.0,712.0,41.8478,-89.4893,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,2A,1A,3A,3A,1A,1A,2A,2A
Dolton (Thornridge),Dolton,public,False,False,0.0,0.0,797.0,41.6257,-87.598,2A,2A,,,,,3A,3A,3A,2A,1A,2A,,3A,3A,,,2A,2A
Dongola,Dongola,public,False,False,0.0,0.0,20.0,37.3712,-89.1349,1A,,,,,,1A,1A,,,,,,,,,,,
Donovan,Donovan,public,False,False,0.0,0.0,70.0,40.8891,-87.6046,,,1A,,,,1A,1A,1A,,,1A,,,1A,,,,
Downers Grove (North),Downers Grove,public,False,False,0.0,0.0,2046.0,41.781800000000004,-88.01485,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Downers Grove (South),Downers Grove,public,False,False,0.0,0.0,2551.0,41.781800000000004,-88.01485,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Downs (Tri-Valley),Downs,public,False,False,0.0,0.0,323.0,40.3989,-88.8686,1A,1A,1A,1A,,,2A,2A,2A,,,1A,,2A,2A,,,1A,1A
