school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
North Chicago,North Chicago,public,False,False,0.0,0.0,848.0,42.379000000000005,-87.81649999999999,,,,,2A,1A,3A,3A,3A,2A,,,2A,,,2A,1A,2A,2A
Northbrook (Glenbrook North),Northbrook,public,False,False,0.0,0.0,2140.0,42.12645,-87.83775,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Northfield (Christian Heritage Academy),Winnetka,private,True,False,2.0,4.0,81.0,42.1054,-87.7535,,,,,1A,,1A,1A,1A,,,,1A,,,1A,,,
Oak Forest,Oak Forest,public,False,False,0.0,0.0,1320.0,41.6077,-87.7542,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Oak Lawn (Community),Oak Lawn,public,False,False,0.0,0.0,1793.0,41.7631,-87.71945,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,2A,2A,3A,3A
Oak Lawn (Richards),Oak Lawn,public,False,False,0.0,0.0,1604.0,41.7631,-87.71945,3A,3A,3A,2A,2A,2A,4A,4A,4A,3A,2A,2A,2A,4A,4A,2A,2A,3A,3A
Oak Park (Fenwick),Oak Park,private,True,False,3.0,7.0,966.0,41.88465,-87.790075,3A,3A,3A,2A,2A,2A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Oak Park (O.P.-River Forest),Oak Park,public,False,False,0.0,0.0,3285.0,41.88465,-87.790075,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Oakland,Oakland,public,False,False,0.0,0.0,59.0,39.6516,-88.0253,1A,,,,,,,1A,1A,,,,,,1A,,,1A,1A
Oblong,Oblong,public,False,False,0.0,0.0,165.0,39.001,-87.895,1A,1A,1A,1A,,,1A,,,,,1A,1A,2A,1A,,,,
Odin,Odin,public,False,False,,,63.0,38.6088,-89.0552,,,,,,,,,,,,1A,,1A,1A,,,,
O'Fallon (First Baptist Academy),O Fallon,private,True,False,7.0,19.0,83.0,38.5718,-89.8957,1A,1A,,,,,1A,,,,,,,,,,,1A,1A
O'Fallon (H.S.),O Fallon,public,False,False,0.0,0.0,2499.0,38.5718,-89.8957,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Okawville,Okawville,public,False,False,0.0,0.0,156.0,38.4319,-89.523,1A,1A,1A,1A,,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Olney (Richland County),Olney,public,False,False,0.0,0.0,660.0,38.7334,-88.0809,2A,2A,2A,1A,1A,1A,2A,2A,2A,1A,,2A,1A,2A,2A,1A,1A,2A,2A
Oneida (ROWVA),Oneida,public,False,False,0.0,0.0,161.0,41.0832,-90.2391,1A,1A,,,,,,1A,1A,1A,,1A,1A,,,,,1A,1A
Orangeville,Orangeville,public,False,False,0.0,0.0,109.0,42.4728,-89.6448,,,,,,,1A,1A,1A,,,,,1A,1A,,,,
Oregon,Oregon,public,False,False,0.0,0.0,428.0,42.0095,-89.3444,1A,1A,1A,1A,1A,,2A,2A,2A,1A,,1A,1A,2A,2A,1A,,1A,1A
Orion,Orion,public,False,False,0.0,0.0,282.0,41.3634,-90.3849,1A,1A,1A,1A,2A,,1A,1A,1A,,,1A,1A,1A,1A,2A,,1A,1A
Orland Park (Sandburg),Orland Park,public,False,False,0.0,0.0,2773.0,41.6106,-87.86609999999999,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Oswego (East),Oswego,public,False,False,0.0,0.0,2659.0,41.6849,-88.3453,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Oswego (H.S.),Oswego,public,False,False,0.0,0.0,2863.0,41.6849,-88.3453,3A,3A,3A,,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Ottawa (Marquette),Ottawa,private,True,False,4.0,12.0,135.0,41.3526,-88.8416,1A,1A,1A,1A,,,1A,1A,1A,,,,1A,2A,1A,,,1A,1A
Ottawa (Twp.),Ottawa,public,False,False,0.0,0.0,1193.0,41.3526,-88.8416,2A,2A,2A,2A,2A,1A,3A,3A,3A,C,2A,2A,2A,3A,3A,2A,1A,2A,2A
Palatine (Fremd),Palatine,public,False,False,0.0,0.0,2610.0,42.11237142857143,-88.0281,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Palatine (H.S.),Palatine,public,False,False,0.0,0.0,2519.0,42.11237142857143,-88.0281,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Palestine,Palestine,public,False,False,0.0,0.0,80.0,39.0028,-87.6157,,,,,,,,,2A,,,1A,,,,,,1A,1A
